Name,Data
Plectropterus_gambensis,FALSE
Nettapus_auritus,FALSE
Nettapus_pulchellus,TRUE
Nettapus_coromandelianus,TRUE
Oxyura_vittata,TRUE
Oxyura_australis,TRUE
Oxyura_leucocephala,TRUE
Oxyura_maccoa,TRUE
Oxyura_jamaicensis,TRUE
Nomonyx_dominicus,TRUE
Turnix_castanotus,FALSE
Turnix_maculosus,FALSE
Turnix_suscitator,TRUE
Turnix_olivii,FALSE
Turnix_tanki,TRUE
Turnix_velox,FALSE
Turnix_worcesteri,FALSE
Turnix_ocellatus,FALSE
Turnix_melanogaster,FALSE
Turnix_sylvaticus,TRUE
Turnix_everetti,FALSE
Turnix_hottentottus,TRUE
Turnix_nigricollis,FALSE
Turnix_varius,TRUE
Turnix_pyrrhothorax,TRUE
Ortyxelos_meiffrenii,FALSE
Rhinoptilus_africanus,TRUE
Rhinoptilus_chalcopterus,TRUE
Rhinoptilus_bitorquatus,FALSE
Rhinoptilus_cinctus,FALSE
Cursorius_rufus,FALSE
Cursorius_somalensis,FALSE
Cursorius_coromandelicus,FALSE
Cursorius_temminckii,TRUE
Cursorius_cursor,FALSE
Glareola_maldivarum,TRUE
Glareola_cinerea,FALSE
Glareola_pratincola,TRUE
Glareola_nordmanni,TRUE
Glareola_lactea,FALSE
Glareola_ocularis,FALSE
Glareola_nuchalis,TRUE
Stiltia_isabella,TRUE
Dromas_ardeola,TRUE
Catharacta_maccormicki,TRUE
Catharacta_chilensis,TRUE
Catharacta_antarctica,TRUE
Catharacta_lonnbergi,FALSE
Stercorarius_pomarinus,TRUE
Catharacta_skua,TRUE
Stercorarius_parasiticus,TRUE
Stercorarius_longicaudus,TRUE
Cepphus_carbo,TRUE
Cepphus_columba,TRUE
Cepphus_grylle,TRUE
Uria_lomvia,TRUE
Uria_aalge,TRUE
Alle_alle,TRUE
Alca_torda,TRUE
Brachyramphus_perdix,TRUE
Brachyramphus_brevirostris,TRUE
Brachyramphus_marmoratus,TRUE
Synthliboramphus_hypoleucus,TRUE
Synthliboramphus_craveri,TRUE
Synthliboramphus_antiquus,TRUE
Synthliboramphus_wumizusume,TRUE
Ptychoramphus_aleuticus,TRUE
Aethia_pygmaea,TRUE
Aethia_psittacula,TRUE
Aethia_cristatella,TRUE
Aethia_pusilla,TRUE
Cerorhinca_monocerata,TRUE
Fratercula_corniculata,TRUE
Fratercula_arctica,TRUE
Fratercula_cirrhata,TRUE
Sterna_lunata,TRUE
Sterna_anaethetus,TRUE
Sterna_fuscata,TRUE
Sterna_aleutica,TRUE
Sterna_bernsteini,FALSE
Sterna_antillarum,TRUE
Sterna_superciliaris,TRUE
Sterna_virgata,FALSE
Sterna_acuticauda,FALSE
Sterna_albifrons,TRUE
Sterna_nereis,TRUE
Sterna_caspia,TRUE
Sterna_lorata,FALSE
Sterna_balaenarum,FALSE
Sterna_nilotica,TRUE
Sterna_albostriata,TRUE
Chlidonias_leucopterus,TRUE
Chlidonias_niger,TRUE
Chlidonias_hybrida,TRUE
Sterna_trudeaui,TRUE
Sterna_forsteri,TRUE
Sterna_sandvicensis,TRUE
Sterna_elegans,TRUE
Sterna_aurantia,FALSE
Sterna_bengalensis,TRUE
Sterna_maxima,TRUE
Sterna_bergii,TRUE
Sterna_saundersi,FALSE
Sterna_paradisaea,TRUE
Sterna_vittata,TRUE
Sterna_hirundinacea,TRUE
Sterna_sumatrana,TRUE
Sterna_striata,TRUE
Sterna_dougallii,TRUE
Sterna_hirundo,TRUE
Larosterna_inca,TRUE
Phaetusa_simplex,TRUE
Sterna_repressa,FALSE
Gygis_microrhyncha,TRUE
Gygis_alba,TRUE
Pagophila_eburnea,TRUE
Xema_sabini,TRUE
Rissa_tridactyla,TRUE
