Genus,Species,Subspecies,Family,Order,Common_Name,Name_In_Tree,Sampled,DNA_In_Tree,Extinct_Extant,Status_Species,DAISIE_Status_Species,Remove_Species
Eurystomus,glaucurus,glaucurus,Coraciidae,Coraciiformes,Broad-billed Roller,Eurystomus_glaucurus,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Eutriorchis,astur,None,Accipitridae,Accipitriformes,Madagascar Serpent-eagle,Eutriorchis_astur,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Falco,concolor,None,Falconidae,Falconiformes,Sooty Falcon,Falco_concolor,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Falco,eleonorae,None,Falconidae,Falconiformes,Eleonora's Falcon,Falco_eleonorae,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Falco,newtoni,newtoni,Falconidae,Falconiformes,Madagascar Kestrel,Falco_newtoni,TRUE,TRUE,Extant,Non-endemic,Endemic,FALSE
Falco,peregrinus,radama,Falconidae,Falconiformes,Peregrine Falcon,Falco_peregrinus,TRUE,TRUE,Extant,Non-endemic,Non-endemic,FALSE
Falco,zoniventris,None,Falconidae,Falconiformes,Banded Kestrel,Falco_zoniventris,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Falculea,palliata,None,Vangidae,Passeriformes,Sickle-billed Vanga,Falculea_palliata,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Foudia,madagascariensis,None,Ploceidae,Passeriformes,Red Fody,Foudia_madagascariensis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Foudia,omissa,None,Ploceidae,Passeriformes,Forest Fody,Foudia_omissa,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Fregata,ariel,None,Fregatidae,Suliformes,Lesser Frigatebird,Fregata_ariel,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Fregata,minor,None,Fregatidae,Suliformes,Great Frigatebird,Fregata_minor,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Fregetta,grallaria,None,Oceanitidae,Procellariiformes,White-bellied Storm-petrel,Fregetta_grallaria,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Fregetta,tropica,None,Oceanitidae,Procellariiformes,Black-bellied Storm-petrel,Fregetta_tropica,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Fulica,cristata,None,Rallidae,Gruiformes,Red-knobbed Coot,Fulica_cristata,TRUE,TRUE,Extant,Non-endemic,Non-endemic,FALSE
Gactornis,enarratus,None,Caprimulgidae,Caprimulgiformes,Collared Nightjar,Caprimulgus_enarratus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Gallinago,macrodactyla,None,Scolopacidae,Charadriiformes,Madagascar Snipe,Gallinago_macrodactyla,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Gallinula,chloropus,pyrrhorrhoa,Rallidae,Gruiformes,Common Moorhen,Gallinula_chloropus,TRUE,TRUE,Extant,Non-endemic,Non-endemic,FALSE
Glareola,ocularis,None,Glareolidae,Charadriiformes,Madagascar Pratincole,Glareola_ocularis,TRUE,FALSE,Extant,Breeding endemic,Non-endemic,TRUE
Haliaeetus,vociferoides,None,Accipitridae,Accipitriformes,Madagascar Fish-eagle,Haliaeetus_vociferoides,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Hartertula,flavoviridis,None,Bernieridae,Passeriformes,Wedge-tailed Tetraka,Neomixis_flavoviridis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Hartlaubius,auratus,None,Sturnidae,Passeriformes,Madagascar Starling,Saroglossa_aurata,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Himantopus,himantopus,None,Recurvirostridae,Charadriiformes,Black-winged Stilt,Himantopus_himantopus,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Hovacrex,roberti,None,Rallidae,Gruiformes,Hova Gallinule,NA,FALSE,FALSE,Extinct,Endemic,Endemic,FALSE
Hydroprogne,caspia,None,Laridae,Charadriiformes,Caspian Tern,Sterna_caspia,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Hypositta,corallirostris,None,Vangidae,Passeriformes,Nuthatch Vanga,Hypositta_corallirostris,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Hypsipetes,madagascariensis,madagascariensis,Pycnonotidae,Passeriformes,Madagascar Bulbul,Hypsipetes_madagascariensis,TRUE,TRUE,Extant,Non-endemic,Endemic,FALSE
Ixobrychus,minutus,podiceps,Ardeidae,Pelecaniformes,Common Little Bittern,Ixobrychus_minutus,TRUE,TRUE,Extant,Non-endemic,Non-endemic,FALSE
Larus,cirrocephalus,poiocephalus,Laridae,Charadriiformes,Grey-headed Gull,Larus_cirrocephalus,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Larus,dominicanus,melisandae,Laridae,Charadriiformes,Kelp Gull,Larus_dominicanus,TRUE,TRUE,Extant,Non-endemic,Non-endemic,TRUE
Lepidopygia,nana,None,Estrildidae,Passeriformes,Madagascar Munia,Lonchura_nana,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Leptopterus,chabert,"chabert, schistocercus",Vangidae,Passeriformes,Chabert Vanga,Leptopterus_chabert,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Leptosomus,discolor,discolor,Leptosomidae,Leptosomiformes,Cuckoo Roller,Leptosomus_discolor,TRUE,TRUE,Extant,Non-endemic,Endemic,FALSE
