Genus,Species,Subspecies,Family,Order ,Common_Name,Name_In_Tree,Sampled,DNA_In_Tree,Extinct_Extant,Status_Species,DAISIE_Status_Species,Remove_Species
Eulemur,rufifrons,None,Lemuridae,Primates,Bennett's Red-fronted brown lemur,Eulemur_rufifrons,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Eulemur,rufus,None,Lemuridae,Primates,Audebert's red-fronted brown lemur,Eulemur_rufus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Eulemur,sanfordi,None,Lemuridae,Primates,Sanford's brown lemur,Eulemur_sanfordi,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Hadropithecus,stenognathus,None,Archaeolemuridae,Primates,None,NA,FALSE,FALSE,Extinct,Endemic,Endemic,FALSE
Hapalemur,alaotrensis,None,Lemuridae,Primates,Alaotra gentle reed lemur,Hapalemur_alaotrensis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Hapalemur,aureus,None,Lemuridae,Primates,Golden bamboo lemur,Hapalemur_aureus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Hapalemur,griseus,None,Lemuridae,Primates,Eastern lesser bamboo lemur,Hapalemur_griseus,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Hapalemur,meridionalis,None,Lemuridae,Primates,Rusty-grey lesser/southern grey gentle bamboo lemur,Hapalemur_meridionalis,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Hapalemur,occidentalis,None,Lemuridae,Primates,Sambirano lesser/western grey bamboo lemur,Hapalemur_occidentalis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Indri,indri,None,Indriidae,Primates,Indri,Indri_indri,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Lemur,catta,None,Lemuridae,Primates,Ring-tailed lemur,Lemur_catta,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Lepilemur,aeeclis,None,Lepilemuridae,Primates,Antafia red-shouldered sportive lemur,Lepilemur_aeeclis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Lepilemur,ahmansonorum,None,Lepilemuridae,Primates,Ahmanson's sportive lemur,Lepilemur_ahmansonorum,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Lepilemur,ankaranensis,None,Lepilemuridae,Primates,Ankarana sportive lemur,Lepilemur_ankaranensis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
Lepilemur,betsileo,None,Lepilemuridae,Primates,Betsileo sportive lemur,Lepilemur_betsileo,TRUE,FALSE,Extant,Endemic,Endemic,FALSE
Lepilemur,dorsalis,None,Lepilemuridae,Primates,Gray-backed sportive lemur,Lepilemur_dorsalis,TRUE,TRUE,Extant,Endemic,Endemic,FALSE
