Genus;Species;Subspecies;Family;Order;Common_Name;Our_Name;Name_In_Tree;Sampled;DNA_In_Tree;Extinct_Extant;Status_Species;DAISIE_Species_Status;Remove_Species
Gephyromantis ;redimitus;NA;Mantellidae;Anura;None;Gephyromantis_redimitus;Gephyromantis_redimitus;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;rivicola;NA;Mantellidae;Anura;None;Gephyromantis_rivicola;Gephyromantis_rivicola;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;runewsweeki;NA;Mantellidae;Anura;None;Gephyromantis_runewsweeki;Gephyromantis_runewsweeki;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;salegy;NA;Mantellidae;Anura;Salegy forest frog;Gephyromantis_salegy;Gephyromantis_salegy;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;saturnini;NA;Mantellidae;Anura;None;Gephyromantis_saturnini;NA;FALSE;FALSE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;schilfi;NA;Mantellidae;Anura;None;Gephyromantis_schilfi;Gephyromantis_schilfi;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;sculpturatus;NA;Mantellidae;Anura;None;Gephyromantis_sculpturatus;Gephyromantis_sculpturatus;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;silvanus;NA;Mantellidae;Anura;None;Gephyromantis_silvanus;Gephyromantis_silvanus;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;spiniferus;NA;Mantellidae;Anura;None;Gephyromantis_spiniferus;Gephyromantis_spiniferus;TRUE;FALSE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;striatus;NA;Mantellidae;Anura;None;Gephyromantis_striatus;Gephyromantis_striatus;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;tahotra;NA;Mantellidae;Anura;None;Gephyromantis_tahotra;Gephyromantis_tahotra;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;tandroka;NA;Mantellidae;Anura;None;Gephyromantis_tandroka;Gephyromantis_tandroka;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;thelenae;NA;Mantellidae;Anura;None;Gephyromantis_thelenae;Gephyromantis_thelenae;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;tohatra;NA;Mantellidae;Anura;None;Gephyromantis_tohatra;NA;FALSE;FALSE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;tschenki;NA;Mantellidae;Anura;None;Gephyromantis_tschenki;Gephyromantis_tschenki;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;ventrimaculatus;NA;Mantellidae;Anura;None;Gephyromantis_ventrimaculatus;Gephyromantis_ventrimaculatus;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;verrucosus;NA;Mantellidae;Anura;None;Gephyromantis_verrucosus;Gephyromantis_verrucosus;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;webbi;NA;Mantellidae;Anura;None;Gephyromantis_webbi;Gephyromantis_webbi;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Gephyromantis ;zavona;NA;Mantellidae;Anura;None;Gephyromantis_zavona;Gephyromantis_zavona;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Guibemantis ;albolineatus;NA;Mantellidae;Anura;None;Guibemantis_albolineatus;Guibemantis_albolineatus;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Guibemantis ;albomaculatus;NA;Mantellidae;Anura;White-spotted Malagasy Pandanus Frog;Guibemantis_albomaculatus;NA;FALSE;FALSE;Extant;Endemic;Endemic;FALSE
Guibemantis ;annulatus;NA;Mantellidae;Anura;Ring-wearing Tree Frog;Guibemantis_annulatus;Guibemantis_annulatus;TRUE;FALSE;Extant;Endemic;Endemic;FALSE
Guibemantis ;bicalcaratus;NA;Mantellidae;Anura;None;Guibemantis_bicalcaratus;Guibemantis_bicalcaratus;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Guibemantis ;depressiceps;NA;Mantellidae;Anura;None;Guibemantis_depressiceps;Guibemantis_depressiceps;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Guibemantis ;diphonus;NA;Mantellidae;Anura;None;Guibemantis_diphonus;NA;FALSE;FALSE;Extant;Endemic;Endemic;FALSE
Guibemantis ;flavobrunneus;NA;Mantellidae;Anura;None;Guibemantis_flavobrunneus;Guibemantis_flavobrunneus;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Guibemantis ;kathrinae;NA;Mantellidae;Anura;None;Guibemantis_kathrinae;Guibemantis_kathrinae;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Guibemantis ;liber;NA;Mantellidae;Anura;None;Guibemantis_liber;Guibemantis_liber;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
Guibemantis ;methueni;NA;Mantellidae;Anura;None;Guibemantis_methueni;Guibemantis_methueni;TRUE;TRUE;Extant;Endemic;Endemic;FALSE
