Genus;Species;Subspecies;Family;Order ;Common_Name;Name_In_Tree;Sampled;DNA_In_Tree;Extinct_Extant;Status_Species
Avahi;ramanantsoavanai;NA;Indriidae;Primates;Ramantsoavana's southern woolly lemur;Avahi ramanantsoavanai;TRUE;FALSE;Extant;Endemic
Avahi;unicolor;NA;Indriidae;Primates;Sambirano woolly lemur;Avahi unicolor;TRUE;FALSE;Extant;Endemic
Babakotia;radofilai;NA;Palaeopropithecidae;Primates;NA;NA;FALSE;FALSE;Extinct;Endemic
Cheirogaleus;andysabini;NA;Cheirogaleidae;Primates;Montagne d'Ambre dwarf lemur;NA;FALSE;FALSE;Extant;Endemic
Cheirogaleus;crossleyi;NA;Cheirogaleidae;Primates;Crossley's dwarf lemur;Cheirogaleus crossleyi;TRUE;TRUE;Extant;Endemic
Cheirogaleus;grovesi;NA;Cheirogaleidae;Primates;Grove's dwarf lemur;NA;FALSE;FALSE;Extant;Endemic
Cheirogaleus;lavasoensis;NA;Cheirogaleidae;Primates;Lavasoa dwarf lemur;Cheirogaleus lavasoensis;TRUE;TRUE;Extant;Endemic
Cheirogaleus;major;NA;Cheirogaleidae;Primates;Geoffroy's greater dwarf lemur;Cheirogaleus major;TRUE;TRUE;Extant;Endemic
Cheirogaleus;medius;NA;Cheirogaleidae;Primates;Western fat-tailed dwarf lemur;Cheirogaleus medius;TRUE;TRUE;Extant;Endemic
Cheirogaleus;minusculus;NA;Cheirogaleidae;Primates;Lesser Iron-gray dwarf lemur;Cheirogaleus minusculus;TRUE;FALSE;Extant;Endemic
Cheirogaleus;shethi;NA;Cheirogaleidae;Primates;Sheth's Ankarana dwarf lemur;NA;FALSE;FALSE;Extant;Endemic
Cheirogaleus;sibreei;NA;Cheirogaleidae;Primates;Sibree's dwarf lemur;Cheirogaleus sibreei;TRUE;TRUE;Extant;Endemic
Cheirogaleus;thomasi;NA;Cheirogaleidae;Primates;Thomas' Dwarf Lemur;NA;FALSE;FALSE;Extant;Endemic
